"","ID","x","y","exact_elev","elev","date","field_notes","site","time_freeze","field_ID","sex","extract_day1","notes","tmax","precip","wind","srad"
"1","BG02",-107.35502,39.39389038,NA,"2700m","8/7/22","","Babbit Gulch","","BG-2","male","9/22/22","",22.3999996185303,36.6666679382324,3.06666660308838,23781.333984375
"2","BG13",-107.38876,39.39423,NA,"2700m","8/8/22","","Babbit Gulch","","BG-15","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"3","BG14",-107.38525,39.39448,NA,"2700m","8/8/22","","Babbit Gulch","","BG-14","female","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"4","BG15",-107.39159,39.38952,NA,"2700m","8/8/22","3:15 end","Babbit Gulch","","BG-22","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23776.666015625
"5","BG16",-107.38862,39.39427,NA,"2700m","8/8/22","","Babbit Gulch","","BG-13","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"6","BG18",-107.3924103,39.39009,NA,"2700m","8/8/22","","Babbit Gulch","","BG-18","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23811
"7","BG20",-107.39404,39.38871002,NA,"2700m","8/8/22","","Babbit Gulch","","BG-20","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23811
"8","BG3",-107.35593,39.39921,NA,"2700m","8/7/22","11:05am","Babbit Gulch","","BG-3","male","9/22/22","",22.3999996185303,36.6666679382324,3.06666660308838,23781.333984375
"9","BG5",-107.3665378,39.40171168,NA,"2700m","8/7/22","","Babbit Gulch","","BG-5","male","9/22/22","",22.2666664123535,37,3.06666660308838,23814.666015625
"10","BG7",-107.38487,39.39402008,NA,"2700m","8/8/22","","Babbit Gulch","","BG-7","male","9/22/22","",21.8666667938232,37.3333320617676,3.10000014305115,23806.333984375
"11","BG8",-107.39153,39.38991,NA,"2700m","8/8/22","","Babbit Gulch","","BG-21","male","9/22/22","",21.6666660308838,37.3333320617676,3.13333344459534,23776.666015625
"12","CR01",-107.199531,40.484393,2003.89917,"2004","7/12/22","","Carpenter Ranch","","CR21","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"13","CR11",-107.195302,40.482023,1991.385376,"1991","7/12/22","","Carpenter Ranch","","CR11","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"14","CR12",-107.19978,40.48171997,NA,"","7/13/22","","Carpenter Ranch","","CR26,27","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"15","CR15",-107.197936,40.482479,1997.794678,"1998","7/12/22","","Carpenter Ranch","","CR15","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"16","CR16",-107.198451,40.482433,2002.472046,"2002","7/12/22","","Carpenter Ranch","","CR16","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"17","CR17",-107.19857,40.482275,2002.939087,"2003","7/12/22","","Carpenter Ranch","","CR17","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"18","CR18",-107.198643,40.483123,2003.406494,"2003","7/12/22","","Carpenter Ranch","","CR18","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"19","CR20",-107.199103,40.483944,2002.860229,"2003","7/12/22","","Carpenter Ranch","","CR19,20","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"20","CR3",-107.199426,40.483564,2004.244385,"2004","7/12/22","","Carpenter Ranch","","CR22&23","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"21","CR5",-107.195667,40.483626,1984.790405,"1985","7/12/22","","Carpenter Ranch","","CR5","male","","",27.7999992370605,35.3333320617676,3.03333330154419,24200
"22","CR8",-107.1998596,40.48171,NA,"","7/13/22","","Carpenter Ranch","","CR24","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"23","CR9",-107.195152,40.482175,1989.253174,"1989","7/12/22","","Carpenter Ranch","","CR9","male","","",27.6666660308838,35.3333320617676,3.03333330154419,24182
"24","DL1",-106.620837,40.415311,2994.57251,"2995","6/29/22","","Dumont Lake","within 48hr","DL29","female","9/20/22","",19.0666656494141,53,3.73333334922791,23329.666015625
"25","DL10",-106.621041,40.41758,3004.352051,"3004","6/29/22","","Dumont Lake","within 48hr","DL25","male","9/20/22","",18.7000007629395,53.3333320617676,3.73333334922791,23300.666015625
"26","DL13",-106.623356,40.398333,2884.047607,"2884","6/29/22","","Dumont Lake","within 48hr","DL8,9","female","9/20/22","",19.7000007629395,53,3.63333344459534,23336.333984375
"27","DL14",-106.625411,40.395952,2877.615479,"2878","6/29/22","","Dumont Lake","within 48hr","DL11","male","9/20/22","",19.6666660308838,53,3.63333344459534,23369.333984375
"28","DL2",-106.614809,40.410096,2935.016846,"2935","6/29/22","","Dumont Lake","within 48hr","DL3","female","9/20/22","",19.2999992370605,53,3.66666674613953,23356.666015625
"29","DL3",-106.614877,40.410148,2936.137695,"2936","6/29/22","","Dumont Lake","within 48hr","DL4","female","9/20/22","",19.2999992370605,53,3.66666674613953,23356.666015625
"30","DL4",-106.615971,40.411868,2950.79248,"2951","6/29/22","","Dumont Lake","within 48hr","DL20","female","9/20/22","",19.2999992370605,53,3.66666674613953,23356.666015625
"31","DL5",-106.616852,40.412174,2959.325684,"2959","6/29/22","","Dumont Lake","within 48hr","DL21","female","9/20/22","",19.0666656494141,53,3.73333334922791,23329.666015625
"32","DL6",-106.617486,40.412064,2961.33252,"2961","6/29/22","","Dumont Lake","within 48hr","DL22","female","9/20/22","",19.0666656494141,53,3.73333334922791,23329.666015625
"33","DL7",-106.619729,40.413476,2978.506104,"2979","6/29/22","","Dumont Lake","within 48hr","DL23","male","9/20/22","",19.0666656494141,53,3.73333334922791,23329.666015625
"34","DL8",-106.621401,40.417091,3003.323975,"3003","6/29/22","","Dumont Lake","within 48hr","DL24","male","9/20/22","",18.7000007629395,53.3333320617676,3.73333334922791,23300.666015625
"35","DL9",-106.621851,40.417843,3014.405029,"3014","6/29/22","","Dumont Lake","within 48hr","DL27","female","9/20/22","",18.7000007629395,53.3333320617676,3.73333334922791,23300.666015625
"36","FV01",-104.7000809,38.74506,NA,"1750m","7/27/22","","Fountain Valley","","FV-1","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"37","FV11",-104.70117,38.74557,NA,"1750m","7/27/22","","Fountain Valley","","FV-11","female","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"38","FV12",-104.70206,38.74549,NA,"1750m","7/27/22","","Fountain Valley","","FV-12","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"39","FV14",-104.70096,38.74609,NA,"1750m","7/27/22","","Fountain Valley","","FV-16","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"40","FV16",-104.70158,38.7453,NA,"1750m","7/27/22","","Fountain Valley","","FV-22","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"41","FV18",-104.7012381,38.74553052,NA,"1750m","7/27/22","","Fountain Valley","","FV-17,18","female","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"42","FV19",-104.70261,38.74489,NA,"1750m","7/27/22","","Fountain Valley","","FV-19","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"43","FV3",-104.69967,38.74415,NA,"1750m","7/27/22","","Fountain Valley","","FV-3","female","9/29/22","",28.7333335876465,59.3333320617676,3.66666674613953,23998.333984375
"44","FV4",-104.70023,38.74545,NA,"1750m","7/27/22","","Fountain Valley","","FV-4,5","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"45","FV5",-104.70023,38.74545,NA,"1750m","7/27/22","","Fountain Valley","","FV-4,5","male","9/29/22","",28.8999996185303,59.3333320617676,3.66666674613953,23975.666015625
"46","FV9",-104.7,38.7445,NA,"1750m","7/27/22","","Fountain Valley","","FV-9","male","9/29/22","",28.7333335876465,59.3333320617676,3.66666674613953,23998.333984375
"47","HM11",-105.8395309,40.27608,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-11","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"48","HM12",-105.83965,40.27649,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-12","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"49","HM14",-105.83929,40.27617,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-13,14,15","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"50","HM15",-105.83929,40.27617,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-13,14,15","female","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"51","HM18",-105.83955,40.27589035,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-18","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"52","HM19",-105.83932,40.27555084,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-19","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"53","HM20",-105.83932,40.27555084,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-20","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"54","HM4",-105.83804,40.27873993,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-3,4","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"55","HM5",-105.83888,40.27751923,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-5","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"56","HM6",-105.83895,40.27715,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM 6,7","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"57","HM8",-105.83907,40.27743912,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-8","female","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"58","HM9",-105.83952,40.27645,NA,"2650m","6/29/22","","Harbison Meadows","from alive","HM-9","male","9/20/22","",20.7666664123535,50.6666679382324,3.73333334922791,22829.333984375
"59","HT12",-105.2972,38.87495041,NA,"2680m","8/10/22","","High Trails Ranch","","HT-12","male","","",23.033332824707,62.6666679382324,3.76666665077209,23189.333984375
"60","HT13",-105.29965,38.87306976,NA,"2680m","8/10/22","","High Trails Ranch","","HT-13","male","","",23.033332824707,62.6666679382324,3.76666665077209,23189.333984375
"61","HT14",-105.29803,38.87408066,NA,"2680m","8/10/22","","High Trails Ranch","","HT-14","male","","",23.033332824707,62.6666679382324,3.76666665077209,23189.333984375
"62","HT15",-105.29826,38.8733902,NA,"2680m","8/10/22","","High Trails Ranch","","HT-15","female","","",23.033332824707,62.6666679382324,3.76666665077209,23189.333984375
"63","HT17",-105.29662,38.875,NA,"2680m","8/10/22","","High Trails Ranch","","HT-17","male","","",23.033332824707,62.6666679382324,3.76666665077209,23189.333984375
"64","HT4",-105.30782,38.88325,NA,"2720m","8/10/22","","High Trails Ranch","","HT-4 to 8","male","","",22.8666667938232,62.6666679382324,3.76666665077209,23186
"65","HT5",-105.30782,38.88325,NA,"2720m","8/10/22","","High Trails Ranch","","HT-4 to 8","female","","",22.8666667938232,62.6666679382324,3.76666665077209,23186
"66","HT6",-105.30782,38.88325,NA,"2720m","8/10/22","","High Trails Ranch","","HT-4 to 8","male","","",22.8666667938232,62.6666679382324,3.76666665077209,23186
"67","HT7",-105.30782,38.88325,NA,"2720m","8/10/22","","High Trails Ranch","","HT-4 to 8","male","","",22.8666667938232,62.6666679382324,3.76666665077209,23186
"68","HT8",-105.30782,38.88325,NA,"2720m","8/10/22","","High Trails Ranch","","HT-4 to 8","male","","",22.8666667938232,62.6666679382324,3.76666665077209,23186
"69","HT9",-105.30701,38.88335,NA,"2720m","8/10/22","","High Trails Ranch","","HT-9","male","","",23.1000003814697,62.6666679382324,3.76666665077209,23189.333984375
"70","KP10",-107.19495,38.89345,NA,"2760m","8/10/22","","Kebler Pass","","KP-10","male","","",22.1333332061768,38,3.06666660308838,23929.666015625
"71","KP11",-107.19493,38.89349,NA,"2760m","8/10/22","","Kebler Pass","","KP-11","female","","",22.1333332061768,38,3.06666660308838,23929.666015625
"72","KP12",-107.1646,38.86329,NA,"2730m","8/10/22","","Kebler Pass","","KP-12","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"73","KP14",-107.1614304,38.86262,NA,"2730m","8/10/22","","Kebler Pass","","KP-14,15","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"74","KP15",-107.1614304,38.86262,NA,"2730m","8/10/22","","Kebler Pass","","KP-14,15","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"75","KP16",-107.16017,38.86173,NA,"2730m","8/10/22","","Kebler Pass","","KP-16","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"76","KP17",-107.1605325,38.86192974,NA,"2730m","8/10/22","","Kebler Pass","","KP-17","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"77","KP19",-107.1612396,38.86265,NA,"2730m","8/10/22","","Kebler Pass","","KP-19","female","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"78","KP20",-107.16152,38.86262,NA,"2730m","8/10/22","","Kebler Pass","","KP-20","male","","",21.7333335876465,38.3333320617676,3.06666660308838,23848
"79","KP5",-107.21425,38.8966,NA,"2700m","8/10/22","","Kebler Pass","","KP-5","female","","",22.3333339691162,37,3.06666660308838,23977.333984375
"80","KP9",-107.19456,38.89284,NA,"2760m","8/10/22","","Kebler Pass","","KP-9","female","","",22.1333332061768,38,3.06666660308838,23929.666015625
"81","LF13",-105.26987,40.15398,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-13","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"82","LF14",-105.2696304,40.15346,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-14","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"83","LF15",-105.26971,40.15346,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-15","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"84","LF16",-105.26949,40.15351,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-16","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"85","LF17",-105.2692795,40.15335,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-17,18","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"86","LF18",-105.2692795,40.15335,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-17,18","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"87","LF3",-105.26868,40.15301,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-20","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"88","LF4",-105.26832,40.15280914,NA,"1720m","7/13/22","","D Loukonen Farm","","DL-4","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"89","LF5",-105.26826,40.15274048,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-5","female","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"90","LF6",-105.26884,40.15302,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-6","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"91","LF7",-105.26882,40.15299,NA,"1720m","7/15/22","","D Loukonen Farm","","DL-7","male","","",28.7000007629395,45.3333320617676,3.43333339691162,23380.333984375
"92","LL10",-105.860324,40.656745,NA,"2646.047607","7/9/22","","Little Laramie","","LL19","male","","",19.5,57,3.90000009536743,23039.333984375
"93","LL11",-105.860417,40.656825,NA,"2646.483154","7/9/22","","Little Laramie","","LL20","male","","",19.5,57,3.90000009536743,23039.333984375
"94","LL12",-105.860219,40.655927,NA,"2648.107178","7/9/22","","Little Laramie","","LL21","male","","",19.5,57,3.90000009536743,23039.333984375
"95","LL14",-105.86026,40.655651,NA,"2645.298828","7/10/22","","Little Laramie","","LL24","male","","",19.5,57,3.90000009536743,23039.333984375
"96","LL15",-105.860397,40.65646,NA,"2643.210205","7/10/22","","Little Laramie","","LL25","female","","",19.5,57,3.90000009536743,23039.333984375
"97","LL3",-105.860153,40.656633,NA,"2643.949219","7/9/22","","Little Laramie","","LL15","female","","",19.5,57,3.90000009536743,23039.333984375
"98","LL4",-105.859954,40.657484,NA,"2649.212402","7/9/22","","Little Laramie","","LL11","male","","",19.5,57,3.90000009536743,23039.333984375
"99","LL5",-105.860638,40.6563,NA,"2645.340576","7/9/22","","Little Laramie","","LL13","male","","",19.5,57,3.90000009536743,23039.333984375
"100","LL6",-105.860348,40.656407,NA,"2644.071533","7/9/22","","Little Laramie","","LL14","male","","",19.5,57,3.90000009536743,23039.333984375
"101","LL7",-105.860582,40.656602,NA,"2645.000488","7/9/22","","Little Laramie","","LL16","male","","",19.5,57,3.90000009536743,23039.333984375
"102","LL8",-105.860524,40.657048,NA,"2645.559082","7/9/22","","Little Laramie","","LL17","male","","",19.5,57,3.90000009536743,23039.333984375
"103","LL9",-105.860264,40.656055,NA,"2646.478516","7/9/22","","Little Laramie","","LL18","male","","",19.5,57,3.90000009536743,23039.333984375
"104","MS01",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"105","MS10",-107.6120605,38.87608,NA,"1760m","8/8/22","","Schreiner Farm","","MS-21,22","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"106","MS12",-107.61179,38.87607,NA,"1760m","8/8/22","","Schreiner Farm","","MS-12 to 15","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"107","MS13",-107.61179,38.87607,NA,"1760m","8/8/22","","Schreiner Farm","","MS-12 to 15","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"108","MS14",-107.61179,38.87607,NA,"1760m","8/8/22","","Schreiner Farm","","MS-12 to 15","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"109","MS20",-107.61136,38.87594,NA,"1760m","8/8/22","","Schreiner Farm","","MS-19,20","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"110","MS3",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"111","MS4",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"112","MS5",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"113","MS6",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"114","MS7",-107.61153,38.87611008,NA,"1760m","8/8/22","2:15-2:30pm","Schreiner Farm","","MS-1 to 8","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"115","MS9",-107.6120903,38.87597483,NA,"1760m","8/8/22","","Schreiner Farm","","MS-9,10,11","male","","",30.2999992370605,26.3333339691162,2.70000004768372,24719.333984375
"116","NF3",-105.494855,40.487894,NA,"2492.085693","6/11/22","","North Fork Trail","","NF8","male","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"117","NF4",-105.494887,40.488164,NA,"2497.85083","6/11/22","","North Fork Trail","","NF9","male","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"118","NF5",-105.4953,40.488246,NA,"2499.810059","6/11/22","","North Fork Trail","","NF10","male","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"119","NF6",-105.496443,40.487899,NA,"2541.404053","6/11/22","","North Fork Trail","","NF11","male","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"120","NF7",-105.495703,40.488221,NA,"2513.416992","6/11/22","","North Fork Trail","","NF12","male","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"121","NF8",-105.494517,40.488631,NA,"2503.715576","6/12/22","","North Fork Trail","","NF14","female","","",21.2000007629395,53.3333320617676,3.90000009536743,22554.666015625
"122","OC1",-107.44997,39.579319,NA,"1750m","8/8/22","9:30am","Orchard Creek Ranch","","OC-1","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"123","OC11",-107.4492493,39.581,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-11,12,13","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"124","OC13",-107.4492493,39.581,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-11,12,13","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"125","OC16",-107.44968,39.57887,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-16, 17,18","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"126","OC17",-107.44968,39.57887,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-16, 17,18","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"127","OC18",-107.44968,39.57887,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-16, 17,18","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"128","OC2",-107.44944,39.58023,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-2","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"129","OC20",-107.4496994,39.57827,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-19,20,21","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"130","OC4",-107.44959,39.57992,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-4","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"131","OC7",-107.44985,39.5788002,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-7","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"132","OC8",-107.44966,39.57876968,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-8","male","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"133","OC9",-107.44962,39.5795,NA,"1750m","8/8/22","","Orchard Creek Ranch","","OC-9,10","female","","",28.6333332061768,30.3333339691162,2.76666665077209,24617.666015625
"134","SC01",-105.12319,40.53902,NA,"1570m","9/18/22","9/18/22","Spring Canyon Park","","SC-1","female","","",28.5666675567627,44,3.53333330154419,23473
"135","SC10",-105.1233,40.53881,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-10","male","","",28.5666675567627,44,3.53333330154419,23473
"136","SC15",-105.1233,40.53876,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-15","female","","",28.5666675567627,44,3.53333330154419,23473
"137","SC16",-105.12382,40.53857,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-16","female","","",28.5666675567627,44,3.53333330154419,23473
"138","SC17",-105.1224,40.53892,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-17","female","","",28.5666675567627,44,3.53333330154419,23473
"139","SC3",-105.12389,40.5386,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-3","male","","",28.5666675567627,44,3.53333330154419,23473
"140","SC4",-105.12251,40.53969,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-4","female","","",28.5666675567627,44,3.53333330154419,23473
"141","SC5",-105.12278,40.54036,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-5","female","","",28.5666675567627,44,3.53333330154419,23473
"142","SC6",-105.12279,40.54037,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-6","male","","",28.5666675567627,44,3.53333330154419,23473
"143","SC7",-105.12279,40.54036,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-7","female","","",28.5666675567627,44,3.53333330154419,23473
"144","SC9",-105.12399,40.53859,NA,"1570m","9/18/22","","Spring Canyon Park","","SC-9","female","","",28.5666675567627,44,3.53333330154419,23473
"145","SP10",-105.016348,40.985045,1922.853027,"1922.853027","7/15/22","","Soapstone Prairie","","SP10","male","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"146","SP11",-105.01623,40.984949,1921.761841,"1921.761841","7/15/22","","Soapstone Prairie","","SP11","male","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"147","SP12",-105.016592,40.985037,1921.359131,"1921.359131","7/15/22","","Soapstone Prairie","","SP12","male","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"148","SP15",-105.017372,40.985571,1921.690918,"1921.690918","7/15/22","","Soapstone Prairie","","SP15","male","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
"149","SP16",-105.017439,40.98558,1922.590576,"1922.590576","7/15/22","","Soapstone Prairie","","SP16,17","male","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
"150","SP17",-105.017439,40.98558,1922.590576,"1922.590576","7/15/22","","Soapstone Prairie","","SP16,17","male","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
"151","SP3",-105.015716,40.984917,1924.30188,"1924.30188","7/15/22","","Soapstone Prairie","","SP3,4","female","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"152","SP4",-105.015716,40.984917,1924.30188,"1924.30188","7/15/22","","Soapstone Prairie","","SP3,4","male","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"153","SP6",-105.014729,40.985396,1917.226562,"1917.226562","7/15/22","","Soapstone Prairie","","SP25","female","","",26.8999996185303,49.3333320617676,3.93333339691162,23212
"154","SP7",-105.017159,40.985378,1925.93811,"1925.93811","7/15/22","","Soapstone Prairie","","SP7","male","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
"155","SP8",-105.017649,40.985737,1926.509155,"1926.509155","7/15/22","","Soapstone Prairie","","SP8","female","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
"156","SP9",-105.017979,40.986472,1926.303467,"1926.303467","7/15/22","","Soapstone Prairie","","SP9","female","","",26.8333339691162,49.3333320617676,3.93333339691162,23216
